Ma hieu;Don gia;DVT;Ghi chu
ONG-UPVC-D21;18000;m;Ong uPVC D21 - sua theo bao gia du an
ONG-UPVC-D27;22000;m;
ONG-UPVC-D34;28000;m;
ONG-UPVC-D42;35000;m;
ONG-UPVC-D48;42000;m;
ONG-UPVC-D60;55000;m;
ONG-UPVC-D75;72000;m;
ONG-UPVC-D90;95000;m;
ONG-UPVC-D110;135000;m;
ONG-UPVC-D125;165000;m;
ONG-UPVC-D140;195000;m;
ONG-UPVC-D160;255000;m;
ONG-UPVC-D200;390000;m;
ONG-PPR-D20;25000;m;
ONG-PPR-D25;33000;m;
ONG-PPR-D32;52000;m;
ONG-PPR-D40;78000;m;
ONG-PPR-D50;120000;m;
ONG-PPR-D63;185000;m;
ONG-HDPE-D63;95000;m;
ONG-HDPE-D110;265000;m;
MM-ELB90-D42;9000;cai;
MM-ELB90-D60;15000;cai;
MM-ELB90-D75;24000;cai;
MM-ELB90-D90;38000;cai;
MM-ELB90-D110;52000;cai;
MM-ELB45-D90;36000;cai;
MM-ELB45-D110;49000;cai;
MM-TEE-D110x110;78000;cai;
MM-TEE-D110x90;72000;cai;
MM-Y-D110x110;95000;cai;
MM-Y-D110x90;88000;cai;
MM-RED-D110x90;28000;cai;
MM-QUANGTREO-D110;35000;cai;
MM-QUANGTREO-D90;28000;cai;
MM-QUANGTREO-D60;20000;cai;
